,val_loss,val_accuracy,activation,batch_size,dropout,embedding_matrix,first_neuron,lr,number_of_layers,reduce_dim,trainable,word_embeddings_architecture
99,0.82334,0.79896,selu,64,False,suc,256,1.25,1,False,True,dense
199,0.76849,0.79896,selu,32,0.5,suc,48,1.25,1,False,True,gru
85,0.75167,0.79896,tanh,64,0.8,fastText,128,1.1,1,False,True,dense
150,0.4916,0.8,elu,64,0.8,suc,8,1.1,1,True,True,dense
39,1.13695,0.80104,tanh,16,0.2,suc,128,1.4000000000000001,1,False,True,gru
191,1.22125,0.80104,relu,16,0.5,suc,128,1.5500000000000003,1,False,True,bilstm
19,0.48254,0.80207,selu,64,0.5,gloVe,8,0.65,3,True,True,gru
89,0.67596,0.80207,selu,64,0.2,fastText,128,0.65,1,True,True,dense
0,0.66967,0.80311,elu,64,0.5,suc,128,0.65,1,False,True,dense
100,0.55858,0.80311,sigmoid,16,0.8,fastText,64,1.1,1,False,True,bilstm
170,0.55458,0.80415,selu,64,0.2,suc,128,0.8,3,True,False,bilstm
83,0.66385,0.80415,tanh,64,0.5,fastText,8,0.5,2,True,True,dense
113,0.79843,0.80415,elu,32,0.5,gloVe,16,1.25,1,True,True,dense
69,1.61894,0.80622,tanh,16,False,gloVe,128,1.85,1,False,True,bilstm
4,0.98919,0.80622,relu,32,0.2,suc,16,0.5,3,True,True,gru
140,0.79319,0.80725,elu,16,0.5,suc,48,0.8,3,True,True,bilstm
53,0.7687,0.80829,tanh,64,0.5,suc,16,1.85,3,True,True,cnn
134,0.68159,0.80933,elu,64,False,fastText,8,0.65,2,False,True,dense
151,0.42882,0.80933,relu,32,0.8,word2vec,8,0.65,1,True,True,dense
119,0.59108,0.81036,tanh,64,0.5,gloVe,64,0.8,3,True,True,gru
1,0.71035,0.81036,elu,64,0.2,suc,256,0.5,4,False,True,gru
181,1.81206,0.81244,relu,64,False,gloVe,256,0.9500000000000001,3,False,True,gru
36,0.87866,0.81244,tanh,16,False,suc,48,1.1,1,True,True,cnn
9,0.45846,0.81451,elu,32,0.8,fastText,256,1.1,1,True,True,gru
62,1.24348,0.81554,elu,16,0.5,fastText,64,0.8,2,False,True,dense
93,0.59419,0.81762,selu,16,0.5,suc,8,0.65,2,True,True,bilstm
47,1.34133,0.81865,relu,16,0.2,gloVe,64,0.5,4,False,True,bilstm
163,0.40556,0.81969,elu,16,0.8,suc,48,0.8,1,False,True,gru
